Stato,Abbr.ANSI,Popolazione ,Capitale
ALABAMA,AL,5024279,Montgomery
ALASKA,AK,733391,Juneau
ARIZONA,AZ,7151502,Phoenix
ARKANSAS,AR,3011524,Little Rock
CALIFORNIA,CA,39538223,Sacramento
CAROLINA DEL NORD,NC,10439388,Raleigh
CAROLINA DEL SUD,SC,5118425,Columbia
COLORADO,CO,5773714,Denver
CONNECTICUT,CT,3605944,Hartford
DAKOTA DEL NORD,ND,779094,Bismarck
DAKOTA DEL SUD,SD,886667,Pierre
DELAWARE,DE,989948,Dover
DISTRETTO DI COLUMBIA,DC,689545,Washington
FLORIDA,FL,21538187,Tallahassee
GEORGIA,GA,10711908,Atlanta
HAWAII,HI,1455271,Honolulu
IDAHO,ID,1839106,Boise
ILLINOIS,IL,12812508,Springfield
INDIANA,IN,6785528,Indianapolis
IOWA,IA,3190369,Des Moines
KANSAS,KS,2937880,Topeka
KENTUCKY,KY,4505836,Frankfort
LOUISIANA,LA,4657757,Baton Rouge
MAINE,ME,1362359,Augusta
MARYLAND,MD,6177224,Annapolis
MASSACHUSETTS,MA,7029917,Boston
MICHIGAN,MI,10077331,Lansing
MINNESOTA,MN,5706494,Saint Paul
MISSISSIPPI,MS,2961279,Jackson
MISSOURI,MO,6154913,Jefferson City
MONTANA,MT,1084225,Helena
NEBRASKA,NE,1961504,Lincoln
NEVADA,NV,3104614,Carson City
NEW HAMPSHIRE,NH,1377529,Concord
NEW JERSEY,NJ,9288994,Trenton
NEW YORK,NY,20201249,Albany
NUOVO MESSICO,NM,2117522,Santa Fe
OHIO,OH,11799448,Columbus
OKLAHOMA,OK,3959353,Oklahoma City
OREGON,OR,4237256,Salem
PENNSYLVANIA,PA,13002700,Harrisburg
RHODE ISLAND,RI,1097379,Providence
TENNESSEE,TN,6910840,Nashville
TEXAS,TX,29145505,Austin
UTAH,UT,3271616,Salt Lake City
VERMONT,VT,643077,Montpelier
VIRGINIA,VA,8631393,Richmond
VIRGINIA OCCIDENTALE,WV,1793716,Charleston
WASHINGTON,WA,7705281,Olympia
WISCONSIN,WI,5893718,Madison
WYOMING,WY,576851,Cheyenne
